zone_name,time_15min,people_count,temperature,humidity,rain,wind_speed,date,hour,minute,day_of_week,is_weekend,is_public_holiday,holiday_name,before_holiday,after_holiday,above_2000,is_event_day,event_name,day_category,lag_1,lag_4,lag_96,lag_672,rolling_mean_1h,rolling_mean_4h,rolling_std_1h,is_sunday,hour_weekend,hour_holiday,hour_sin,hour_cos,rain_weekend,temp_weekend,is_school_holiday,day_name
Touristeninformation,2023-07-09 09:00:00,73,29.1,38,0.0,6.2,2023-07-09,9,0,6,1,0,No_Holiday,0,0,0,0,No_Event,Weekend,104.0,123.0,2.0,4.0,104.0,123.0,0.0,1,9,0,0.7071067811865476,-0.7071067811865475,0.0,29.1,0,Sun
Touristeninformation,2023-07-09 09:15:00,74,29.1,38,0.0,6.2,2023-07-09,9,15,6,1,0,No_Holiday,0,0,0,0,No_Event,Weekend,73.0,241.0,2.0,22.0,73.0,241.0,0.0,1,9,0,0.7071067811865476,-0.7071067811865475,0.0,29.1,0,Sun
Touristeninformation,2023-07-09 09:30:00,56,29.1,38,0.0,6.2,2023-07-09,9,30,6,1,0,No_Holiday,0,0,0,0,No_Event,Weekend,74.0,62.0,2.0,4.0,74.0,62.0,0.0,1,9,0,0.7071067811865476,-0.7071067811865475,0.0,29.1,0,Sun
Touristeninformation,2023-07-09 09:45:00,53,29.1,38,0.0,6.2,2023-07-09,9,45,6,1,0,No_Holiday,0,0,0,0,No_Event,Weekend,56.0,104.0,1.0,30.0,64.0,104.0,11.045361017187263,1,9,0,0.7071067811865476,-0.7071067811865475,0.0,29.1,0,Sun
Touristeninformation,2023-07-09 10:00:00,15,30.9,31,0.0,5.1,2023-07-09,10,0,6,1,0,No_Holiday,0,0,0,0,No_Event,Weekend,53.0,73.0,5.0,17.0,49.5,73.0,24.79919353527449,1,10,0,0.49999999999999994,-0.8660254037844387,0.0,30.9,0,Sun
Touristeninformation,2023-07-09 10:15:00,60,30.9,31,0.0,5.1,2023-07-09,10,15,6,1,0,No_Holiday,0,0,0,0,No_Event,Weekend,15.0,74.0,6.0,27.0,46.0,74.0,20.864643139371765,1,10,0,0.49999999999999994,-0.8660254037844387,0.0,30.9,0,Sun
Touristeninformation,2023-07-09 10:30:00,30,30.9,31,0.0,5.1,2023-07-09,10,30,6,1,0,No_Holiday,0,0,0,0,No_Event,Weekend,60.0,56.0,2.0,16.0,39.5,56.0,20.760539492026695,1,10,0,0.49999999999999994,-0.8660254037844387,0.0,30.9,0,Sun
Touristeninformation,2023-07-09 10:45:00,45,30.9,31,0.0,5.1,2023-07-09,10,45,6,1,0,No_Holiday,0,0,0,0,No_Event,Weekend,30.0,53.0,9.0,5.0,37.5,53.0,19.364916731037084,1,10,0,0.49999999999999994,-0.8660254037844387,0.0,30.9,0,Sun
Touristeninformation,2023-07-09 11:00:00,71,31.4,29,0.0,4.7,2023-07-09,11,0,6,1,0,No_Holiday,0,0,0,0,No_Event,Weekend,45.0,15.0,9.0,11.0,51.5,15.0,17.86057109949175,1,11,0,0.258819045102521,-0.9659258262890682,0.0,31.4,0,Sun
Touristeninformation,2023-07-09 11:15:00,49,31.4,29,0.0,4.7,2023-07-09,11,15,6,1,0,No_Holiday,0,0,0,0,No_Event,Weekend,71.0,60.0,11.0,16.0,48.75,60.0,16.938614661968863,1,11,0,0.258819045102521,-0.9659258262890682,0.0,31.4,0,Sun
